"CASE_NUMBER","PRIMARY/SUB","cluster_id","agent_id","EMPLOYER_STATE","employer_latitude","employer_longitude","AGENT_ATTORNEY_STATE","agent_latitude","agent_longitude","WORKSITE_STATE","worksite_latitude","worksite_longitude","JOB_TITLE","PRIMARY_CROP","NBR_WORKERS_REQUESTED","BASIC_NUMBER_OF_HOURS","BASIC_RATE_OF_PAY","BASIC_UNIT_OF_PAY","SUPERVISE_OTHER_EMP","EDUCATION_LEVEL","EMP_EXPERIENCE_REQD","EMP_EXP_NUM_MONTHS","OTHER_WORKSITE_LOCATION","ORGANIZATION_FLAG","worksite_latitude_adj","worksite_longitude_adj","labor_aggregator","joint_application"
"H-300-15243-487642","SUB","two bar sheep company","western range association","CO",40.5181867,-108.0866927,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.5181867,-108.0866927,"N",1
"H-300-15243-487642","SUB","faulkner land livestock company","western range association","ID",42.9389067,-114.7131938,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.9389067,-114.7131938,"N",1
"H-300-15243-487642","SUB","canyon cattle company","western range association","ID",46.4810355428571,-116.255388871429,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",46.4810355428571,-116.255388871429,"N",1
"H-300-15243-487642","SUB","estill ranches","western range association","NV",40.651812,-119.356261,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.651812,-119.356261,"N",1
"H-300-15243-487642","SUB","john espil sheep company","western range association","NV",40.1801273,-118.4747268,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.1801273,-118.4747268,"N",1
"H-300-15243-487642","SUB","pickett ranch sheep company","western range association","ID",42.2432972,-113.881767,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.2432972,-113.881767,"N",1
"H-300-15243-487642","SUB","mike lisa kimsey","western range association","WY",44.269402,-107.963942,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",44.269402,-107.963942,"N",1
"H-300-15243-487642","SUB","john peterson","western range association","ID",43.8734979,-116.4993012,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",43.8734979,-116.4993012,"N",1
"H-300-15243-487642","SUB","travis j newman","western range association","MT",46.599054,-107.8694908,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",46.599054,-107.8694908,"N",1
"H-300-15243-487642","SUB","ladder livestock company","western range association","WY",41.024965,-107.4497854,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",41.024965,-107.4497854,"N",1
"H-300-15243-487642","SUB","william f hofman","western range association","CA",39.6196036,-122.1938726,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",39.6196036,-122.1938726,"N",1
"H-300-15243-487642","SUB","nottingham land livestock","western range association","CO",40.5152491,-107.5464541,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",4,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.5152491,-107.5464541,"N",1
"H-300-15243-487642","SUB","guerry incorporated","western range association","ID",42.5990714,-114.7594946,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.5990714,-114.7594946,"N",1
"H-300-15243-487642","SUB","flat top sheep company","western range association","ID",43.307683,-113.944752,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",43.307683,-113.944752,"N",1
"H-300-15243-487642","SUB","vanwell livestock","western range association","SD",44.899211,-97.115289,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",4,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",44.899211,-97.115289,"N",1
"H-300-15243-487642","SUB","james craig bair ranch company","western range association","CO",39.5466381,-107.3246941,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",39.5466381,-107.3246941,"N",1
"H-300-15243-487642","SUB","diamond w land livestock","western range association","UT",39.6893864,-113.828603,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",39.6893864,-113.828603,"N",1
"H-300-15243-487642","SUB","annabella land cattle company","western range association","UT",38.7091363,-112.059924,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",38.7091363,-112.059924,"N",1
"H-300-15243-487642","SUB","noh sheep company","western range association","ID",42.5990714,-114.7594946,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.5990714,-114.7594946,"N",1
"H-300-15243-487642","SUB","frank shirts","western range association","ID",43.6765486,-116.9118157,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",21,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",43.6765486,-116.9118157,"N",1
"H-300-15243-487642","SUB","dufurrena sheep","western range association","NV",40.972415,-117.7347619,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.972415,-117.7347619,"N",1
"H-300-15243-487642","SUB","napa valley lamb company","western range association","CA",38.2919984,-122.4578582,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",38.2919984,-122.4578582,"N",1
"H-300-15243-487642","SUB","etcheverry sheep company","western range association","ID",42.6190756,-113.677234,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",10,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.6190756,-113.677234,"N",1
"H-300-15243-487642","SUB","tuttle livestock company","western range association","CO",40.355524,-108.4484305,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",3,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",40.355524,-108.4484305,"N",1
"H-300-15243-487642","SUB","lava lake land livestock","western range association","ID",43.307683,-113.944752,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",43.307683,-113.944752,"N",1
"H-300-15243-487642","SUB","julian land livestock","western range association","WY",41.7924606,-110.537711,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",41.7924606,-110.537711,"N",1
"H-300-15243-487642","SUB","etchamendy sheep company","western range association","CA",35.5941238,-119.3409457,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",35.5941238,-119.3409457,"N",1
"H-300-15243-487642","SUB","preston arthur","western range association","ID",42.6079647,-113.78335,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.6079647,-113.78335,"N",1
"H-300-15243-487642","SUB","cd ranches","western range association","ID",42.6190756,-113.677234,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",42.6190756,-113.677234,"N",1
"H-300-15243-487642","SUB","round grove ranch company","western range association","MT",46.319098,-111.520802,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",46.319098,-111.520802,"N",1
"H-300-15243-487642","SUB","grass valley ranch","western range association","NV",39.4932592,-117.0695386,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",39.4932592,-117.0695386,"N",1
"H-300-15243-487642","SUB","randall m jones","western range association","WY",44.4032892,-108.2742747,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",2,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",44.4032892,-108.2742747,"N",1
"H-300-15243-487642","SUB","ken wixom","western range association","ID",43.190039,-112.348357,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",43.190039,-112.348357,"N",1
"H-300-15243-487642","SUB","klecker farms","western range association","CO",37.5816182,-106.1496731,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",37.5816182,-106.1496731,"N",1
"H-300-15243-487642","SUB","juan goyeneche","western range association","CA",35.3738712,-119.019463,"UT",40.7596198,-111.886797,"CA",35.5941238,-119.3409457,"SHEEPHERDER","Sheep",1,40,750,"Month","N","None","Y",3,"Y","Association - Joint Employer (H-2A Only)",35.3738712,-119.019463,"N",1
"H-300-15243-776081","PRI","b w quality growers","florida fruit vegetable association","FL",27.7677894,-80.6013691,"FL",46.2099261,-62.5164049,"FL",27.7677894,-80.6013691,"Farmworker, Vegetable II","Watercress",75,36,10.19,"Hour","N","None","Y",3,"Y","Association - Filing as Agent (H-2A Only)",27.7677894,-80.6013691,"N",0
"H-300-15243-865682","PRI","okelberry livestock ranch","mountain plains ag service","UT",39.9530088,-111.900771,"WY",42.8501191,-106.325138,"UT",39.9530088,-111.900771,"Sheepherder","Sheep",9,60,750,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",39.9530088,-111.900771,"N",0
"H-300-15244-134673","PRI","nature fresh farms usa","southern impact","OH",41.5725731,-84.0059127,"OK",36.1563122,-95.9927516,"OH",41.5725731,-84.0059127,"Farmworker","Tomatoes",28,55,11.75,"Hour","N","None","Y",3,"N","Individual Employer",41.5725731,-84.0059127,"N",0
"H-300-15244-389038","PRI","mendoza bros farming",NA,"CA",34.9516362,-120.4164756,NA,NA,NA,"CA",35.0427547,-120.475998,"Harvesting broccoli, cauliflower or celery","Broccoli",20,50,10.5,"Hour","N","None","N",NA,"Y","Individual Employer",35.0427547,-120.475998,"N",0
"H-300-15244-535086","PRI","nestor morales","cch bookkeeping","FL",27.2158826,-81.8584164,"FL",27.2930999,-81.3628502,"FL",27.2158826,-81.8584164,"Harvest worker","Citrus",50,36,10.19,"Hour","N","None","N",NA,"Y","H-2A Labor Contractor or Job Contractor",27.2158826,-81.8584164,"N",0
"H-300-15245-087161","PRI","sunny south packing company","florida fruit vegetable association","FL",27.2158826,-81.8584164,"FL",46.2099261,-62.5164049,"FL",27.2158826,-81.8584164,"Citrus Hand Harvester","General Farmworker",48,36,10.19,"Hour","N","None","N",NA,"Y","Association - Filing as Agent (H-2A Only)",27.2158826,-81.8584164,"N",0
"H-300-15245-321659","PRI","titmus family farms","mountain plains ag service","UT",40.6000817,-112.463531,"WY",42.8501191,-106.325138,"UT",40.6000817,-112.463531,"Sheepherder","Sheep",3,60,750,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",40.6000817,-112.463531,"N",0
"H-300-15246-073234","PRI","hugh childress","mountain plains ag service","TX",30.7098786,-101.2036387,"WY",42.8501191,-106.325138,"TX",30.7098786,-101.2036387,"Goat/Sheepherder","Goats",3,60,750,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",30.7098786,-101.2036387,"N",0
"H-300-15246-172861","PRI","alewelt concrete","the bernard firm plc","IA",42.5201895,-93.3762693,"IA",42.0267567,-93.6170448,"IA",41.670205,-94.9106526,"Farm Worker/ Laborer","Construction of Livestock Buildings",11,45,12.62,"Hour","N","None","Y",1,"Y","H-2A Labor Contractor or Job Contractor",41.670205,-94.9106526,"N",0
"H-300-15246-244712","PRI","h2a complete ii",NA,"MS",34.9873822,-90.0034862,NA,NA,NA,"FL",27.6387163,-80.3975399,"Citrus Hand Harvester","Peaches",170,35,10.19,"Hour","N","None","N",NA,"Y","H-2A Labor Contractor or Job Contractor",27.6387163,-80.3975399,"N",0
"H-300-15246-267767","PRI","allen livestock","mountain plains ag service","CO",38.799707,-107.719503,"WY",42.8501191,-106.325138,"CO",38.799707,-107.719503,"Sheepherder","Sheep",5,60,750,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",38.799707,-107.719503,"N",0
"H-300-15246-402997","PRI","coyanosa cooperative gin","mas labor h2a","TX",31.2420577,-103.0653346,"VA",37.759808,-78.8707518,"TX",31.2420577,-103.0653346,"Gin Worker","Cotton",36,40,10.35,"Hour","N","None","Y",1,"N","Individual Employer",31.2420577,-103.0653346,"N",0
"H-300-15246-702537","PRI","frog song organics",NA,"FL",29.5918856,-82.0869578,NA,NA,NA,"FL",29.5918856,-82.0869578,"FRUIT AND VEGETABLE HAND HARVESTING","Beans",12,36,10.19,"Hour","N","None","N",NA,"N","Individual Employer",29.5918856,-82.0869578,"N",0
"H-300-15246-810612","PRI","jefferson heights","mountain plains ag service","WY",42.8501191,-106.325138,"WY",42.8501191,-106.325138,"WY",42.8501191,-106.325138,"Open Range Winter Cattle Herder","Open Range Livestock",1,60,875,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",42.8501191,-106.325138,"N",0
"H-300-15246-818917","PRI","flores construction","the bernard firm plc","IA",42.5539454,-93.0526788,"IA",42.0267567,-93.6170448,"IA",42.9783247,-93.316474,"Farm Worker/Laborer","Agricultural Equipment Operator",5,40,12.62,"Hour","N","None","Y",1,"Y","H-2A Labor Contractor or Job Contractor",42.9783247,-93.316474,"N",0
"H-300-15246-835308","PRI","francisco orozco","cch bookkeeping","FL",27.2930999,-81.3628502,"FL",27.2930999,-81.3628502,"FL",27.2158826,-81.8584164,"Harvest worker","Oranges",99,36,10.19,"Hour","N","None","N",NA,"Y","H-2A Labor Contractor or Job Contractor",27.2158826,-81.8584164,"N",0
"H-300-15246-891764","PRI","northwoods apiaries",NA,"VT",44.889371,-72.4286266,NA,NA,NA,"VT",44.889371,-72.4286266,"Beekeeper","Bees",1,40,11.55,"Hour","N","None","Y",3,"Y","Individual Employer",44.889371,-72.4286266,"N",0
"H-300-15246-953385","PRI","gerard frey farms",NA,"LA",30.3313265,-92.4955777,NA,NA,NA,"LA",30.3313265,-92.4955777,"Crawfish Farm Worker","Crawfish",15,40,10.18,"Hour","N","None","N",NA,"N","Individual Employer",30.3313265,-92.4955777,"N",0
"H-300-15247-442497","PRI","champlain valley apple storage",NA,"NY",44.578486,-73.527031,NA,NA,NA,"NY",44.578486,-73.527031,"Farmworkers and Laborers, Crop","Apple Drops",3,40,11.26,"Hour","N","None","Y",1,"Y","Individual Employer",44.578486,-73.527031,"N",0
"H-300-15247-503564","PRI","lehfeldt rambouillets","mountain plains ag service","MT",46.2947988,-108.9377067,"WY",42.8501191,-106.325138,"MT",46.2947988,-108.9377067,"Sheepherder","Sheep",5,60,750,"Month","N","None","Y",6,"Y","Association - Filing as Agent (H-2A Only)",46.2947988,-108.9377067,"N",0
"H-300-15247-589065","PRI","the growers company","western growers","AZ",32.5964404,-114.709677,"CA",33.6567518,-117.733291,"AZ",32.665135,-114.476031572498,"General Farmworkers","Lettuce",315,36,10.54,"Hour","N","None","Y",1,"Y","Association - Filing as Agent (H-2A Only)",32.665135,-114.476031572498,"N",0
"H-300-15247-722273","PRI","henke dairy","placement services global","ND",47.32111,-101.381548,"MO",39.6119958,-94.5978072,"ND",47.32111,-101.381548,"Farm Worker General","Livestock",3,48,13.59,"Hour","N","None","Y",3,"N","Individual Employer",47.32111,-101.381548,"N",0
"H-300-15249-826795","PRI","frische bros fertilizer","southern impact","TX",35.8630199,-101.9663192,"OK",36.1563122,-95.9927516,"TX",35.8630199,-101.9663192,"Farmworker","Wheat",6,48,11,"Hour","N","None","Y",3,"N","Individual Employer",35.8630199,-101.9663192,"N",0
"H-300-15250-135804","PRI","gulf citrus harvesting hauling","florida fruit vegetable association","FL",26.7615384,-81.4385828,"FL",46.2099261,-62.5164049,"FL",26.7615384,-81.4385828,"Citrus Hand Harvester","Citrus",74,36,10.19,"Hour","N","None","N",NA,"Y","Association - Filing as Agent (H-2A Only)",26.7615384,-81.4385828,"N",0
"H-300-15250-331288","PRI","gulf citrus harvesting hauling","florida fruit vegetable association","FL",26.7615384,-81.4385828,"FL",46.2099261,-62.5164049,"FL",26.7615384,-81.4385828,"Citrus Hand Harvester","Citrus",300,36,10.19,"Hour","N","None","N",NA,"Y","Association - Filing as Agent (H-2A Only)",26.7615384,-81.4385828,"N",0
"H-300-15250-834234","PRI","paugh","peak season labor","MT",45.7874957,-108.49607,"MT",47.0639275,-109.428213,"MT",45.7874957,-108.49607,"Sheepherder","Sheep",1,60,750,"Month","N","None","Y",6,"Y","Individual Employer",45.7874957,-108.49607,"N",0
"H-300-15250-873261","PRI","arnulfo martinez","cch bookkeeping","FL",27.7458626,-81.5306313,"FL",27.2930999,-81.3628502,"FL",27.4933718,-81.7959155,"Harvest worker","Valencia Oranges",19,36,10.19,"Hour","N","None","N",NA,"Y","H-2A Labor Contractor or Job Contractor",27.4933718,-81.7959155,"N",0
"H-300-15250-955746","PRI","statewide harvesting hauling","florida fruit vegetable association","FL",28.0225206,-81.6192432,"FL",46.2099261,-62.5164049,"FL",28.0225206,-81.6192432,"Citrus Hand Harvester","Citrus",160,36,10.19,"Hour","N","None","N",NA,"Y","Association - Filing as Agent (H-2A Only)",28.0225206,-81.6192432,"N",0
